PCID,SMILES,Avg_T_half,Sem_T_half,Norm_T_half,Norm_Sem_T_half,Feature,Docking,Close,Loose
1975877,Cc1c(OCc2nnn[nH]2)ccc2c3ccccc3c(=O)oc12,54.5,0,3.516129032,0.024404855,"[-2.62620210647583, -3.1007633209228516, -1.8361940383911133, 1.7365018129348755, 0.7082868218421936, 0.334218829870224, -1.6478945016860962, 1.7981328964233398, 1.7808473110198975, -1.1537185907363892, 0.3430335223674774, 0.4548410177230835, -0.6377129554748535, 0.10079336166381836, -2.8510031700134277, -1.2942172288894653, 1.2459443807601929, -0.4310413897037506, 3.000523567199707, -0.6157158017158508, -0.4883575737476349, 0.39541423320770264, 0.5002027153968811, 0.3640947639942169, -3.3308963775634766, -1.934110403060913, 1.8001794815063477, -0.12758587300777435, -0.00554228201508522, -0.37214362621307373, 0.12316474318504333, 0.6466478705406189, 0.5765515565872192, -0.7756121754646301, 0.1365615874528885, -0.1958421766757965, -0.15722990036010742, -0.3036113977432251, 0.19384855031967163, -0.7975074648857117, 0.5979636311531067, 0.2457793802022934, -0.5285879373550415, 0.4812639355659485, 0.603610098361969, -0.18332204222679138, 0.10464654862880707, 0.16977159678936005, -0.3250695466995239, 0.2929752469062805, 0.375042200088501, -0.04033837839961052, -0.1456843912601471, 0.6831507682800293, -0.21354681253433228, -0.20055818557739258]",1,0,0
136228140,Cc1cccc2c(c[nH]c12)-c1nc2C(NCCc2[nH]1)C(O)=O,46.58333333,0.083333333,3.005376344,0.02154151,"[-0.7134016752243042, -1.0423476696014404, -1.343099594116211, 3.624946117401123, 2.4260003566741943, -1.5102306604385376, 0.5585892200469971, 1.9980194568634033, 0.2484239786863327, -2.3109002113342285, -2.2664742469787598, -1.6241158246994019, 1.2365309000015259, 0.15120398998260498, 1.1847742795944214, -4.445156097412109, 1.0191494226455688, -3.278801202774048, -0.6249475479125977, 0.6815499663352966, -1.685742735862732, -2.8031015396118164, 1.5014256238937378, -0.8929129242897034, -0.8171334266662598, 0.902384340763092, 1.2095818519592285, -3.947720766067505, 0.4411311745643616, -0.4980412423610687, 0.07540100067853928, 0.5812477469444275, -0.5427031517028809, -0.686730682849884, 0.009985119104385376, -0.5608881711959839, -0.3444203734397888, -0.21416285634040833, 0.599254846572876, -1.0005537271499634, 0.8677744269371033, 0.22872216999530792, -0.44875234365463257, 0.14680124819278717, 0.17847591638565063, -0.5063363313674927, 0.3023529052734375, 0.6305984258651733, -0.010298166424036026, -0.09247761964797974, 0.19255037605762482, -0.2780405879020691, 0.35382238030433655, 0.766895592212677, 0.517073929309845, -0.03429286181926727]",1,0,0
5076660,Oc1cccc(NC(=O)C(=O)C2C(=O)Nc3ccccc3S2=O)c1,23.41666667,0.25,1.510752688,0.019237966,"[-0.048770301043987274, 1.969826340675354, -1.861875057220459, 2.132990837097168, 1.3933167457580566, 0.39895525574684143, -3.9715123176574707, 3.9118478298187256, 0.48567429184913635, 0.7507834434509277, -0.8901761770248413, 3.7078423500061035, -0.4498092532157898, 2.241694927215576, 1.1616407632827759, -0.3503651022911072, -0.42675796151161194, -0.47235074639320374, 0.1222509890794754, 2.739611864089966, -1.7924398183822632, 2.9264755249023438, -2.509582281112671, 0.4874347150325775, 0.13590815663337708, 1.313468337059021, -0.09083124995231628, 2.058175802230835, 0.1441268026828766, -0.28346991539001465, 0.4553242325782776, 0.22721751034259796, -0.5522013306617737, -0.42549294233322144, -0.06657736003398895, 0.27523162961006165, 0.013467065989971161, 0.26681503653526306, -0.2041929066181183, -0.0494576171040535, 0.32557642459869385, -0.15110649168491364, 0.417930006980896, 0.44741255044937134, 0.2106592059135437, -0.3478541076183319, 0.08451515436172485, -0.09937962144613266, -0.5761626362800598, 0.0566713884472847, -0.0030304640531539917, 0.034763120114803314, -0.43553757667541504, -0.350963294506073, 0.05668867006897926, 0.7133955955505371]",1,0,0
12005007,O=C1NN(C(=O)\C1=C\c1coc2ccccc2c1=O)c1ccccc1,55.25,1.583333333,1.3,0.145703115,"[-1.728703498840332, -2.668900966644287, -4.224935531616211, 1.1695486307144165, 0.011296030133962631, -1.182663083076477, -4.0560712814331055, 6.108978748321533, 2.42358136177063, -0.8594838976860046, 1.0396671295166016, 3.370577335357666, -3.6109073162078857, -1.9298725128173828, 0.9697285294532776, 0.4228214621543884, 3.637589693069458, -1.6082994937896729, 0.8278571963310242, 0.5851123332977295, -0.41836991906166077, -0.06669257581233978, 2.5413975715637207, -0.21238712966442108, -2.8525283336639404, 0.28288552165031433, 1.8034083843231201, 0.47261983156204224, 1.164191484451294, -0.7413027286529541, -0.11514359712600708, -0.18449938297271729, -5.445112228393555, -0.9558031558990479, 0.27669546008110046, 0.05104682967066765, -0.26518338918685913, 0.013422355055809021, 0.4702266454696655, -0.5353056788444519, 0.798929750919342, -0.036220207810401917, 0.2748529314994812, 0.571998119354248, -0.5801677107810974, -0.43582502007484436, 0.3360157907009125, -0.07649999856948853, -0.07347631454467773, -0.4757663607597351, -0.03984107822179794, -1.429134726524353, 0.28688398003578186, 0.09841357171535492, -0.10530373454093933, -0.3077813386917114]",1,0,0
124209211,O=C(Cc1n[nH]c2ccccc12)N1CCC2(CCO2)CC1,15.83333333,0.166666667,1.021505376,0.01287982,"[-1.5739890336990356, -2.0874433517456055, 0.2512887716293335, -0.002947792410850525, 1.2799981832504272, -0.0727258026599884, 2.906212329864502, 1.937905192375183, -1.962747573852539, -1.4506840705871582, 2.755725860595703, 2.0154242515563965, 1.0894719362258911, -1.7713934183120728, -0.7191945910453796, -2.1582388877868652, -0.43522951006889343, 2.2191336154937744, -0.09720055758953094, 0.13305534422397614, -0.2374875843524933, -0.8677681684494019, -2.1406240463256836, 1.1455650329589844, -0.9747600555419922, -1.3509881496429443, -0.9963018894195557, -1.3504698276519775, 0.07163384556770325, -0.41947421431541443, -0.006315574049949646, 0.26796892285346985, -0.2935425043106079, -0.6986647844314575, 0.4953569173812866, 0.4601110517978668, -0.05479191243648529, -0.21083304286003113, 0.2472473382949829, -0.44965192675590515, 0.2595441937446594, 0.33955276012420654, -0.21401570737361908, 0.3920174837112427, -0.5863003134727478, -0.5217453837394714, 0.24144303798675537, 0.316407173871994, -1.117438793182373, 0.2925781011581421, 0.4590688943862915, -0.12817293405532837, 0.5059927105903625, -0.17929375171661377, 0.03074408695101738, -0.05857005715370178]",1,0,0
90649704,O=C(C1CCc2ccccc2O1)N1CCN(CC1)c1ncc[nH]c1=O,16.33333333,,0.994923858,,"[-0.21771925687789917, -4.156918525695801, -0.2612054944038391, 0.9990468621253967, 0.9052327275276184, -0.056810107082128525, 2.329104423522949, 2.435842514038086, -4.189915180206299, 1.4775545597076416, 2.9836597442626953, -1.7652193307876587, 2.382627487182617, -0.27362221479415894, 2.4293344020843506, 0.8562561869621277, 1.9642589092254639, -0.9904718995094299, 0.6979149580001831, 2.5987560749053955, -1.091810941696167, -2.52170991897583, -1.6760196685791016, -0.08405544608831406, -1.4875777959823608, -0.3768121302127838, -0.9187277555465698, 0.0696553885936737, -0.0023325346410274506, -0.7134968042373657, -0.011309027671813965, 0.06712114810943604, -0.01746564731001854, -0.8147181868553162, 0.1675306111574173, -0.116544209420681, 0.35799741744995117, 0.18430641293525696, -0.10911602526903152, 0.08123835176229477, -0.02414610981941223, 0.3322363793849945, -0.4396575093269348, 0.21257853507995605, -0.1008492186665535, -0.5576364994049072, 0.25616276264190674, -0.564865231513977, -0.5684302449226379, 0.33376502990722656, -0.11999250948429108, -0.0028207674622535706, 0.054318927228450775, -0.18313026428222656, 0.539341151714325, -0.07304486632347107]",1,0,0
42065031,CCN1C(=O)NC2(CCN(CC2)C(=O)c2ccccc2F)C1=O,16.58333333,0.083333333,1.010152284,0.033171008,"[-1.4203153848648071, -2.381514072418213, 2.688944101333618, -0.5184840559959412, 0.759145200252533, 0.07693734765052795, -1.1898335218429565, 2.9744017124176025, 0.3337014317512512, 2.8815128803253174, 1.8439912796020508, 1.5273869037628174, 1.5236923694610596, 0.9390048980712891, 2.189696788787842, 1.407056212425232, -1.5807322263717651, 1.7136253118515015, 0.09715346992015839, -0.23148281872272491, -0.9418317675590515, -0.721973717212677, -1.462525725364685, 0.4350173771381378, 1.569892168045044, 1.8377089500427246, 1.7312915325164795, 1.1973768472671509, 0.21025662124156952, -0.16029274463653564, -0.6099989414215088, 0.22858408093452454, 0.6313621997833252, -0.7318334579467773, 0.4945158362388611, 0.5454027652740479, 0.1525948941707611, -0.07900790125131607, -0.1710125207901001, -0.02689807116985321, -0.113427072763443, 0.6012171506881714, -0.07882820069789886, -0.01009783148765564, -0.30120205879211426, -0.32549357414245605, 0.43859678506851196, 0.3563762903213501, -0.5761504769325256, 0.09241793304681778, 0.3845929503440857, -0.23892325162887573, 0.3740147650241852, -0.2690904140472412, 0.019204262644052505, 0.35912224650382996]",1,0,0
119216639,OC(=O)C1COCCN1C(=O)Cn1ncc(=O)c2ccccc12,19,0.833333333,1.157360406,0.063144877,"[2.532735586166382, -1.8305106163024902, -1.1614551544189453, 3.4453489780426025, -1.6443400382995605, 2.3643124103546143, -0.424614816904068, 1.4003695249557495, -1.8669546842575073, -1.220051884651184, 2.672966957092285, 0.5580068230628967, 0.2561122179031372, 1.8014870882034302, 0.3373996317386627, -1.354674220085144, -0.47236424684524536, 0.4320460855960846, 0.08127863705158234, 0.05651604384183884, -2.1447503566741943, 0.835537314414978, -2.1615819931030273, 2.7577266693115234, -2.011573076248169, 1.88168466091156, -1.313735008239746, 0.617791473865509, -0.27117204666137695, -0.41342735290527344, 0.42954370379447937, -0.35515695810317993, 0.3513414263725281, 0.059212956577539444, 0.06172893941402435, -0.3677482306957245, -0.3579077124595642, -0.29386040568351746, 0.2444310188293457, -0.5053454637527466, -0.11447499692440033, 0.05599430203437805, -0.5176503658294678, 0.0037337839603424072, 0.20115509629249573, -0.7301371097564697, -0.15441632270812988, 0.13679571449756622, 0.05983338877558708, 0.4013966917991638, 0.4594196677207947, 0.1934901475906372, 0.11874254792928696, -0.41964733600616455, -0.5427283048629761, 0.04518744349479675]",1,0,0
56785234,COc1cccc(CC(=O)NC2CCN(C2=O)c2ccccc2)c1,16.58333333,0.083333333,1.010152284,0.033171008,"[1.5744736194610596, -0.275895893573761, 1.370356559753418, -0.7539753317832947, 0.03430130332708359, 2.456308126449585, -2.0252928733825684, 2.0188565254211426, -0.07547799497842789, -0.8314456939697266, 0.9347974061965942, 0.15741606056690216, -1.4566354751586914, -1.637448787689209, -2.228243589401245, 0.23080562055110931, 0.996801495552063, -0.5731313824653625, -1.1360763311386108, 1.1547130346298218, 1.6920225620269775, 0.6825962066650391, -0.04571335017681122, -0.7015315294265747, -1.5870225429534912, 2.759251594543457, -0.6471428275108337, 0.9671005010604858, 0.159409761428833, -0.3655105531215668, 0.29149457812309265, 0.7828624844551086, -0.05299949273467064, -0.3294563889503479, 0.09285798668861389, 0.2948160767555237, 0.15682463347911835, -0.16428539156913757, 0.07045882940292358, -0.19605118036270142, 0.36548081040382385, 0.2496565580368042, 0.7294662594795227, 0.14259260892868042, -0.23309791088104248, -0.16015133261680603, 0.09212230890989304, 0.022380406036973, -0.6724839806556702, 0.10154324769973755, -0.2543196678161621, 0.016397766768932343, -0.39420750737190247, -0.2608247399330139, 0.08552271127700806, -0.06248895823955536]",1,0,0
119135740,OC(=O)C1CC2CCCCC2N1C(=O)c1cnc2ccccc2n1,19.33333333,0.333333333,1.177664975,0.043275354,"[1.3584327697753906, -2.8234241008758545, -1.477858543395996, 0.7347980737686157, -0.7444046139717102, 1.817551851272583, 1.87687087059021, 1.7871557474136353, -2.3226354122161865, -0.49168968200683594, 0.25817155838012695, 3.134446859359741, 2.0686545372009277, -1.1348261833190918, 0.5110711455345154, -0.7368393540382385, 1.3363075256347656, -0.36148467659950256, 0.9680500626564026, 2.8711912631988525, -2.8517680168151855, -0.05728261172771454, -2.5261292457580566, 0.7353756427764893, 1.1125645637512207, -0.5833808183670044, 0.46659669280052185, 0.160744309425354, 0.2254968285560608, -0.7566035389900208, 0.311545193195343, -0.32672929763793945, -0.4788745641708374, 0.05858670547604561, 0.46663182973861694, -0.232619971036911, 0.15297889709472656, 0.04034662991762161, 0.37446853518486023, -0.32100099325180054, 0.17036902904510498, 0.3658422827720642, 0.1943424791097641, 0.04704417288303375, 0.038605399429798126, -0.24428562819957733, 0.4670166075229645, -0.11494261771440506, 0.13742530345916748, 0.3354412317276001, -0.1402677744626999, -0.29740265011787415, 0.37295156717300415, 0.14718468487262726, 0.32236388325691223, 0.2756546139717102]",1,0,0
